solutionid,title,description,topicid,solutiontype,statusid,attachments,helpdeskid
37,How to add DADS entry for APEX,"<span><table cellspacing=""0"" cellpadding=""4"" width=""100%"" border=""0""><tbody><tr><td colspan=""2"">Options</td></tr><tr><td><table cellspacing=""0"" cellpadding=""3"" border=""0""><tbody><tr><td valign=""top"" width=""25%"">Symptom: <br /><i><font size=""1"">(public)</font></i></td><td width=""75%"">How to add DADS entry for APEX</td></tr><tr><td valign=""top"" width=""25%"">Problem: <br /><i><font size=""1"">(public)</font></i></td><td width=""75%"">How to add DADS entry for APEX</td></tr><tr><td valign=""top"" width=""25%"">Solution: <br /><i><font size=""1"">(public)</font></i></td><td width=""75%"">For Production on ah3:<br /><br />su - orafus<br />cd /u04/orafus/product/10133/ohs/modplsql/conf<br />vi dads.conf &amp; add the new entries.</td></tr></tbody></table></td></tr></tbody></table></span><br />",2104,Solution,2,f,1
372,Ask for disable trigger in Production (for Global timezone issue),"<span style=""font-size: 11.0px;""><b>alter trigger apps.TPC_ASO_QUOTE_HEADERS_T2I disable;</b></span>",2111,Solution,2,f,1
15,http://onlinetest.net4practice.com/login  website info,"In prod we have may tomcat processes running on differenet ports.<br /><br />For <font><a target=""_blank"" href=""redir.aspx?C=5be97f4f21c74b358eb04116bcafb295&amp;URL=http%3a%2f%2fonlinetest.net4practice.com%2flogin"">http://onlinetest.net4practice.com/login</a> , the tomcat is running on port 8880. The path is here</font><br /><br />/home/tomcat6/apache-tomcat-6.0.20<br /><br />Go to bin directory and run the startup.sh script<br /><br />NOTE : The other tomcat processes are in /usr/local/jakarta<br /><div><br /></div><div><div>net4p@onlinetest.net4practice.com [~]# sudo su - root -c /home/tomcat6/apache-tomcat-6.0.20/bin/shutdown.sh</div><div>Using CATALINA_BASE:   /home/tomcat6/apache-tomcat-6.0.20</div><div>Using CATALINA_HOME:   /home/tomcat6/apache-tomcat-6.0.20</div><div>Using CATALINA_TMPDIR: /home/tomcat6/apache-tomcat-6.0.20/temp</div><div>Using JRE_HOME:       /usr/local/jdk</div><div><br /></div><div>net4p@onlinetest.net4practice.com [~]# sudo su - root -c /home/tomcat6/apache-tomcat-6.0.20/bin/startup.sh</div><div>Using CATALINA_BASE:   /home/tomcat6/apache-tomcat-6.0.20</div><div>Using CATALINA_HOME:   /home/tomcat6/apache-tomcat-6.0.20</div><div>Using CATALINA_TMPDIR: /home/tomcat6/apache-tomcat-6.0.20/temp</div><div>Using JRE_HOME:       /usr/local/jdk</div></div><div><br /></div>",306,Solution,2,f,1
17,Cisco SSM-10 IPS Login,  <p>Upgraded the IPS to 7.0 (2)<br />  </p><p><span> </span><br />  </p><p>The IPS ip address is 172.1.0.52<br />  </p><p> <br />  </p><p>To connect https://172.1.0.52<br />  </p><p> <br />  </p><p>Username : cisco<br />  </p><p>Password : a0droot2oo6!<br />  </p>,1201,Solution,2,f,1
18,Opening Ports on Cisco Firewall (ASA or Pix),"<span style=""FONT-WEIGHT: bold;"">Opening ports on ASA</span><br /><br /><span style=""TEXT-DECORATION: underline;"">You need to know the internal and external IP and ports.</span><br /><ul style=""FONT-FAMILY: verdana , arial , helvetica , sans-serif;""><li><font size=""3"">Log into ASA (ssh 172.1.0.1, default gateway)</font></li></ul><ul style=""FONT-FAMILY: verdana , arial , helvetica , sans-serif;""><li><font size=""3"">&quot;enable&quot; mode (type ena)</font></li><li><font size=""3"">&quot;configuration&quot; mod (type conf t)</font></li></ul><ul style=""FONT-FAMILY: verdana , arial , helvetica , sans-serif;""><li><font size=""3"">Enter the following configuration:</font></li></ul><hr style=""WIDTH: 100.0%;HEIGHT: 2.0px;"" />static (inside,outside) tcp 216.74.58.72 8001 172.1.0.62 8001 netmask 255.255.255.255<br />static (inside,outside) tcp 216.74.58.72 8005 172.1.0.62 8005 netmask 255.255.255.255<br />static (inside,outside) tcp 216.74.58.72 1522 172.1.0.62 1522 netmask 255.255.255.255<br />static (inside,outside) tcp 216.74.58.98 1522 172.1.1.61 1522 netmask 255.255.255.255<br /><br />access-list ahdirect extended permit tcp any host 216.74.58.72 eq 8001<br />access-list ahdirect extended permit tcp any host 216.74.58.72 eq 8005<br />access-list ahdirect extended permit tcp any host 216.74.58.72 eq 1522<br />access-list ahdirect extended permit tcp host 74.208.145.51 host 216.74.58.98 eq 1522<br /> <br />NOTE: To allow access to a particular IP address use the following format:<br /><br />access-list ahdirect extended permit tcp host 66.152.169.36 host 216.74.58.68 eq 8888<br /><br /><br /><hr style=""WIDTH: 100.0%;HEIGHT: 2.0px;"" /><ul><li>&quot;write mem&quot; to save configuration</li></ul><span><strong>APPENDIX:</strong></span><br /><br /><span>To look for rule set in firewall:</span><br /><span>show run | include &quot;your string&quot;</span><br /><br /><span>To remove a rule set, prepend &quot;no &quot; to the command used to set the command:</span><br /><br /><span>no static (inside,outside) tcp 216.74.58.98 1522 172.1.1.61 1522 netmask 255.255.255.255<br />no access-list ahdirect extended permit tcp host 74.208.145.51 host 216.74.58.98 eq 1522<br /></span><br />",1201,Solution,2,f,1
19,DSI DNS Logins,dyndns:<br /><br />customer: dispensingsolutions<br />ashok / wltd0ww<br /><br />Network Solutions<br /><br />hvolkman<br />dsi-4321!,1202,Solution,2,f,1
20,Set Maximum Bandwidth Throughput Speed,"<span style=""font-weight: bold;"">The policy configuratio is set on the Cisco ASA:</span><br /><br />policy-map police-policy<br /> class class-default<br />  police output 12583000<br />  police input 12583000<br /><br />",1501,Solution,2,f,1
23,Changing DB privilaged accounts passwords which are going to expire when logging to db console,"<span>Please follow the following metalink notes to reset the passwords for <font face=""Times New Roman"" size=""3"">dbsnmp, sysman and mgmt_view.</font></span><br /><br /><span><table cellspacing=""6"" cellpadding=""0"" width=""100%"" border=""0""><tbody><tr><td valign=""top"" align=""left"" colspan=""4""><span><strong></strong></span><br /></td></tr></tbody></table></span><br /><span><strong><font face=""Helvetica"">How to change the password of the 10g database user sysman [ID 259379.1]</font></strong></span><br /><pre><font face=""Courier New, Courier, mono"">PURPOSE\n-------\n\nHow to change the password of the database user sysman\n\n \nSCOPE &amp; APPLICATION\n-------------------\nAll database administrators using the Enterprise Manager 10G DB Control\n(also known as RDBMS 10G Standalone dbconsole)\n\n\nHow to change the password of the 10g database user sysman\n----------------------------------------------------------\n\nThe Oracle user sysman is the schema of the standalone repository \nof the 10G Enterprise Manager DB Control.\n\nTo ensure that you change the sysman password in the right database,\nyou must check that the environment variable ORACLE_SID is set.\nYou must also check that the environment variable ORACLE_HOME is set \nand that the path includes the correct $ORACLE_HOME/bin.\n\nTo change the password of the user sysman you must strictly \nfollow the steps below, otherwise you 10g Standalone dbconsole used to manage\nyour 10g database will not function properly.\n\n1. Stop the standalone dbconsole\n   on Unix\n   $ emctl stop dbconsole\n   on Windows\n   Stop the Windows Service Oracle&lt;oracle_home_name&gt;DBConsole\n   Or\n   Open a DOS Command Window and type\n   C&gt; emctl stop dbconsole\n\n2. Check that the standalone dbconsole is stopped\n   on Unix\n   $ emctl status dbconsole\n   on Windows\n   Check the status of the Windows Service Oracle&lt;oracle_home_name&gt;DBConsole\n   Or\n   Open a DOS Command Window and type\n   C&gt; emctl status dbconsole\n\n3. Connect to the database as a user with DBA privilege with SQL*Plus \n   and execute\n   SQL&gt; alter user sysman identified by &lt;new_password&gt; ;\n\n4. Check the new password\n   SQL&gt; connect sysman/&lt;new_password&gt;[@database_alias]\n\n5. Go to $ORACLE_HOME/host_sid/sysman/config\n   5.1 Save the file emoms.properties to emoms.properties.orig\n   5.2 Edit the file emoms.properties\n       a. Search for the line beginning with:\n          oracle.sysman.eml.mntr.emdRepPwd=\n          Replace the encrypted value by the new password value\n       b. Search for the line:\n          oracle.sysman.eml.mntr.emdRepPwdEncrypted=TRUE\n          Replace TRUE by FALSE\n\n6. Restart the standalone dbconsole\n   on Unix\n   $ emctl start dbconsole\n   on Windows\n   Start the Windows Service Oracle&lt;oracle_home_name&gt;DBConsole\n   Or\n   Open a DOS Command Window and type\n   C&gt; emctl start dbconsole\n\n7. Check that the password has been encrypted\n   Edit the file emoms.properties\n   7.1 Search for the line beginning with:\n       oracle.sysman.eml.mntr.emdRepPwd=\n       Check that the password is encrypted\n   7.2 Search for the line beginning with:\n       oracle.sysman.eml.mntr.emdRepPwdEncrypted=\n       Check that the value is TRUE\n</font></pre><span><strong><font face=""Helvetica""></font></strong></span><br /><span><strong><font face=""Helvetica"">How to Change the Password of the 10g Database User Dbsnmp [ID 259387.1]</font></strong></span><br /><pre><font face=""Courier New, Courier, mono"">PURPOSE\n-------\n\nHow to change the password of the 10g database user dbsnmp\n\n \nSCOPE &amp; APPLICATION\n-------------------\nAll database administrators using the Standalone dbconsole\n\n\nHow to change the password of the 10g database user dbsnmp\n----------------------------------------------------------\n \nTo change the password of the user dbsnmp you must strictly \nfollow the steps below, otherwise you 10g Standalone dbconsole used to manage\nyour 10g database will not function properly.\n\n1. Stop the standalone dbconsole\n   on Unix\n   $ export ORACLE_SID=&lt;The SID of the database monitored by the dbconsole&gt;\n   $ emctl stop dbconsole\n   on Windows\n   Stop the Windows Service Oracle&lt;oracle_home_name&gt;DBConsole&lt;SID&gt;\n   Or\n   Open a DOS Command Window and type\n   C&gt; set ORACLE_SID=&lt;The SID of the database monitored by the dbconsole&gt;\n   C&gt; set ORACLE_HOME=&lt;ORACLE_HOME of the database&gt;\n   C&gt; cd %ORACLE_HOME%/bin\n   C&gt; emctl stop dbconsole\n\n2. Check that the standalone dbconsole and the emagent are stopped\n   on Unix\n   $ emctl status dbconsole\n   $ emctl status agent\n   on Windows\n   Check the status of the Windows Service Oracle&lt;oracle_home_name&gt;DBConsole\n   Check that the process emagent.exe is not running in Task Manager\n   Or\n   Open a DOS Command Window, cd to the database $ORACLE_HOME\\bin and type\n   C&gt; emctl status dbconsole\n   C&gt; emctl status agent\n\n3. Connect to the database as a user with DBA privilege with SQL*Plus \n   and execute\n   SQL&gt; alter user dbsnmp identified by &lt;new_password&gt; ;\n\n4. Check the new password\n   SQL&gt; connect dbsnmp/&lt;new_password&gt;[@database_alias]\n\n5. Go to $ORACLE_HOME/host_sid/sysman/emd\n   5.1 Save the file targets.xml to targets.xml.orig\n   5.2 Edit the file targets.xml with your favorite text editor \n      (wordpad is recommended on Windows platform)\n      Search for the line:\n      &lt;Property NAME=&quot;password&quot; VALUE=&quot;&lt;encrypted_string&gt;&quot; ENCRYPTED=&quot;TRUE&quot;/&gt;\n      Replace the encrypted value by the new password value\n      Replace TRUE by FALSE\n\n6. Restart the standalone dbconsole\n   on Unix\n   $ export ORACLE_SID=&lt;The SID of the database monitored by the dbconsole&gt;\n   $ emctl start dbconsole\n   on Windows\n   Start the Windows Service Oracle&lt;oracle_home_name&gt;DBConsole&lt;SID&gt;\n   Or\n   Open a DOS Command Window and type\n   C&gt; set ORACLE_SID=&lt;The SID of the database monitored by the dbconsole&gt;\n   C&gt; set ORACLE_HOME=&lt;ORACLE_HOME of the database&gt;\n   C&gt; cd %ORACLE_HOME%/bin\n   C&gt; emctl start dbconsole\n\n7. Check that the password has been encrypted\n   Edit the file targets.xml \n   Search for the line:\n   &lt;Property NAME=&quot;password&quot; VALUE=&quot;&lt;encrypted_string&gt;&quot; ENCRYPTED=&quot;TRUE&quot;/&gt;\n   Check that the password VALUE is encrypted\n   Check that the value of ENCRYPTED is TRUE\n\nNote: In case of Rac DB, the dbsnmp password should be changed in targets.xml\nnot only for instances(oracle_database), but also for rac_database target.\n</font></pre><pre><pre><table cellspacing=""6"" cellpadding=""0"" width=""100%"" border=""0""><tbody><tr><td valign=""top"" align=""left"" colspan=""4""><span><strong>How To Change the 10.2 Database Control MGMT_VIEW Password [ID 455450.1]</strong></span><br /></td></tr></tbody></table></pre><pre><h2>Applies to: </h2>Enterprise Manager Grid Control - Version: 10.2<br />Information in this document applies to any platform.<br /><h2><a name=""GOAL""></a>Goal</h2><span>The 10.2 Database Control web site repository is missing the MGMT_VIEW_PRIV.CHANGE_VIEW_USER_PASSWORD procedure normally found in the Grid Control repository. This procedure is normally required to change the MGMT_VIEW user password. An alternative method is presented here.</span><br /><h2><a name=""FIX""></a>Solution</h2><span>The following steps may be performed to change the MGMT_VIEW user password if the MGMT_VIEW_PRIV.CHANGE_VIEW_USER_PASSWORD procedure is not available in the Database Control repository (sysman schema):</span><br /><span>1. Call MGMT_VIEW_PRIV.SET_VIEW_USER_CRED('&lt;new_password&gt;'); <br />This calculates the random password for the MGMT_VIEW user and <br />saves it <br /><br />2. Call MGMT_VIEW_PRIV.GET_VIEW_USER_CRED; <br />Get the random password saved in step 1. <br /><br />3. Call EXECUTE IMMEDIATE 'alter user MGMT_VIEW identified by &lt;new pwd&gt;';</span><br /><span> </span><br /><span>All of these steps can be accomplished by creating this procedure, using the real intended password character string in the field denoted by &lt;new_password&gt;:</span><br /><span>declare <br />c_secret varchar2(100); <br />c_user varchar2(100); <br />c_pwd varchar2(100); <br /><br />begin <br />c_secret := '&lt;new_password&gt;'; <br />sysman.MGMT_VIEW_PRIV.SET_VIEW_USER_CREDS(c_secret); <br />Sysman.mgmt_view_priv.get_view_user_creds (c_user, c_pwd); <br />Sys.dbms_output.put_line (c_user); <br />Sys.dbms_output.put_line (c_pwd); <br />EXECUTE IMMEDIATE 'alter user MGMT_VIEW identified by '||c_pwd; <br />end; <br />/</span><br /></pre></pre>",1801,Solution,2,f,1
24,Customer worksheet,This document contains customer and their environment information.  It covers most shared and small customers.  Large customers have their own individual customer worksheet.,2110,Solution,2,t,1
25,Add CUSTOM_TOP for R12 environment for RS group,<span>Login to ah200 as oravis</span><br /><span>Create new file $APPL_TOP/customVIS_ah200.env</span><br /><span>Add following content in this file</span><br /><span>     XXRS_TOP=/d01/oracle/VIS/apps/apps_st/appl/xxrs/12.0.0<br />     export XXRS_TOP</span><br /><span>Change $APPL_TOP/admin/topfile.txt to add following line.</span><br /><span>     xxrs    /d01/oracle/VIS/apps/apps_st/appl<br />Re-source environment then bounce application services</span><br />,601,Solution,2,f,1
26,Create APEX workspace manually,"See attached <div><br /></div><div>Sample APEX Schema creation script:</div><div><br /></div><div>1.  Create tablespace for data and index:</div><div><div>create tablespace abc_data datafile '/u01/oradata/ahdb07/abc_data01.dbf'</div><div>size 100m autoextend on maxsize 300m</div><div>extent management local segment space management auto</div><div>/</div></div><div><br /></div><div>2.  Create user</div><div>create user abc_user identified by &quot;A2b4c0#&quot; default tablespace abc_data</div><div><div>temporary tablespace temp quota unlimited on abc_data</div><div>/</div><div><br /></div><div>3.  Grant privilege.</div><div>grant create session to abc_user;</div><div>alter user abc_user quota unlimited on abc_idx;</div><div>grant create view, create synonym, create procedure,</div><div>  create materialized view, create sequence, create table,</div><div>  create trigger to abc_user;</div><div>ALTER USER abc_user DEFAULT ROLE ALL;</div></div><div><br /></div>",2104,Solution,1,t,1
27,Provision new CPANEL account,Provision new CPANEL account,2104,Solution,2,t,1
365,Active Directory and Domain Controller,"<span>ah59 - primary DC and AD</span><br /><span>ah55 - secondary DC and AD</span><br /><br /><span>Domain:  ah.local</span><br /><br /><span>When logging in, enter ah\\&lt;user name&gt;</span><br /><br /><span>When they log in ts01 or ah35</span><br /><br />",2403,Solution,1,f,1
